Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/div_Save""))",Chrome 97.0.4692.71,,,2022-01-16 23:44:11,2022-01-16 23:44:41,30.308s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,2022-01-16 23:44:41,2022-01-16 23:44:42,0.765s,PASSED
,,,,,,,
Test Cases/TC41-44. Setting - Change Display Name,Chrome 97.0.4692.71,,,2022-01-16 23:44:42,2022-01-16 23:50:07,5m - 24.960s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-16 23:44:42,2022-01-16 23:44:43,1.350s,PASSED
"navigateToUrl(""http://localhost:8080/#/login"")",Chrome 97.0.4692.71,,,2022-01-16 23:44:43,2022-01-16 23:44:46,2.301s,PASSED
"setText(findTestObject(""Object Repository/Setting - Display Name/Page_Element/input_Sign in with_username""), ""nctai"")",Chrome 97.0.4692.71,,,2022-01-16 23:44:46,2022-01-16 23:44:49,3.674s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Setting - Display Name/Page_Element/input_Username_password""), ""EkCegUu2cCIeOttlbhr1Gg=="")",Chrome 97.0.4692.71,,,2022-01-16 23:44:49,2022-01-16 23:44:50,0.541s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element/input_Forgot password_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-16 23:44:50,2022-01-16 23:44:50,0.561s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/div_Verify with Security Key or Phrase""))",Chrome 97.0.4692.71,,,2022-01-16 23:44:50,2022-01-16 23:45:34,43.229s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/input_use your Security Key_mx_passPhraseInput""), ""reV6H350bXVA0kTbjZFhCPXAh4FFL4It6typrKizvxSyJdUn2mpvZeL5nXz6yBWwF/LIkIubCxLuDiWR7yvugw=="")",Chrome 97.0.4692.71,,,2022-01-16 23:45:34,2022-01-16 23:46:04,30.530s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/button_Continue""))",Chrome 97.0.4692.71,,,2022-01-16 23:46:04,2022-01-16 23:46:34,30.204s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/div_Done""))",Chrome 97.0.4692.71,,,2022-01-16 23:46:34,2022-01-16 23:47:05,30.217s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/img_Review_mx_BaseAvatar_image""))",Chrome 97.0.4692.71,,,2022-01-16 23:47:05,2022-01-16 23:47:35,30.514s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/span_Security  privacy_mx_IconizedContextMe_38942c""))",Chrome 97.0.4692.71,,,2022-01-16 23:47:35,2022-01-16 23:48:05,30.231s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/div_GeneralAppearanceNotificationsPreferenc_bc2e8e""))",Chrome 97.0.4692.71,,,2022-01-16 23:48:05,2022-01-16 23:48:36,30.229s,PASSED
"setText(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/input_Profile_mx_Field_4""), displayName)",Chrome 97.0.4692.71,,,2022-01-16 23:48:36,2022-01-16 23:49:36,1m - 0.459s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/div_Save""))",Chrome 97.0.4692.71,,,2022-01-16 23:49:36,2022-01-16 23:50:06,30.178s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,2022-01-16 23:50:06,2022-01-16 23:50:07,0.719s,PASSED
